job_title,job_detail_url,job_listed,company_name,company_link,company_location
"Backend Developer, Intern",https://eg.linkedin.com/jobs/view/backend-developer-intern-at-pinatro-3941492745?refId=y0Hi37%2FS2S6hpdjvWM%2F3jw%3D%3D&trackingId=3C7aUy5uLO%2FKSVV7c4ODyg%3D%3D&position=21&pageNum=1&trk=public_jobs_jserp-result_search-card,2 days ago,Pinatro,https://uk.linkedin.com/company/pinatrohq?trk=public_jobs_jserp-result_job-search-card-subtitle,Egypt
BO Software Engineer internship,https://eg.linkedin.com/jobs/view/bo-software-engineer-internship-at-huawei-3916749052?refId=y0Hi37%2FS2S6hpdjvWM%2F3jw%3D%3D&trackingId=yGzFDWyZSBoFfx7IJbN1QQ%3D%3D&position=22&pageNum=1&trk=public_jobs_jserp-result_search-card,4 weeks ago,Huawei,https://cn.linkedin.com/company/huawei?trk=public_jobs_jserp-result_job-search-card-subtitle,"Cairo, Egypt"
Software Developer,https://eg.linkedin.com/jobs/view/software-developer-at-freepl-3933060113?refId=y0Hi37%2FS2S6hpdjvWM%2F3jw%3D%3D&trackingId=rUz%2FPqza8BlmS4N9F7G9cA%3D%3D&position=23&pageNum=1&trk=public_jobs_jserp-result_search-card,3 weeks ago,FreePL,https://eg.linkedin.com/company/free-pl?trk=public_jobs_jserp-result_job-search-card-subtitle,"Cairo, Cairo, Egypt"
"Data Scientist ""Senior/Lead""",https://eg.linkedin.com/jobs/view/data-scientist-senior-lead-at-banque-misr-3904466021?refId=y0Hi37%2FS2S6hpdjvWM%2F3jw%3D%3D&trackingId=oitqsBmO6PzDIl2pQ9Dcgg%3D%3D&position=24&pageNum=1&trk=public_jobs_jserp-result_search-card,2 months ago,Banque Misr,https://eg.linkedin.com/company/banque-misr?trk=public_jobs_jserp-result_job-search-card-subtitle,"Cairo, Cairo, Egypt"
Software Engineer,https://eg.linkedin.com/jobs/view/software-engineer-at-e-construct-fz-llc-3758931463?refId=7us7QS7uKJ6X4TNzP7MZcg%3D%3D&trackingId=WsIzPwFjIYheUMUJ0sUBsg%3D%3D&position=1&pageNum=2&trk=public_jobs_jserp-result_search-card,6 months ago,e.construct Fz LLC,https://ae.linkedin.com/company/e.construct-fz-llc?trk=public_jobs_jserp-result_job-search-card-subtitle,"Cairo, Cairo, Egypt"
Data Analytics (Summer Intern),https://eg.linkedin.com/jobs/view/data-analytics-summer-intern-at-henkel-3926330446?refId=7us7QS7uKJ6X4TNzP7MZcg%3D%3D&trackingId=yvvkJC01UCj%2Bfhc9DbMgKQ%3D%3D&position=2&pageNum=2&trk=public_jobs_jserp-result_search-card,3 weeks ago,Henkel,https://de.linkedin.com/company/henkel?trk=public_jobs_jserp-result_job-search-card-subtitle,"Cairo, Cairo, Egypt"
Junior Data Scientist,https://eg.linkedin.com/jobs/view/junior-data-scientist-at-rekrut-by-talent-360-3789765854?refId=7us7QS7uKJ6X4TNzP7MZcg%3D%3D&trackingId=U5eHsVhRj0Bd1gDYolWcOA%3D%3D&position=3&pageNum=2&trk=public_jobs_jserp-result_search-card,5 months ago,Rekrut by Talent 360,https://eg.linkedin.com/company/rekrut-talents?trk=public_jobs_jserp-result_job-search-card-subtitle,"Cairo, Cairo, Egypt"
Mechanical Engineer - PMT (Saudi Arabia),https://eg.linkedin.com/jobs/view/mechanical-engineer-pmt-saudi-arabia-at-eram-talent-3934472473?refId=7us7QS7uKJ6X4TNzP7MZcg%3D%3D&trackingId=L2B%2FHsg6KzaO8EYq9OdbRA%3D%3D&position=4&pageNum=2&trk=public_jobs_jserp-result_search-card,6 days ago,Eram Talent,https://sa.linkedin.com/company/eramtalent?trk=public_jobs_jserp-result_job-search-card-subtitle,"Cairo, Cairo, Egypt"
QA Engineer 1,https://eg.linkedin.com/jobs/view/qa-engineer-1-at-noon-3934765722?refId=7us7QS7uKJ6X4TNzP7MZcg%3D%3D&trackingId=awzGrtXhbF5uvVauoBiiWQ%3D%3D&position=5&pageNum=2&trk=public_jobs_jserp-result_search-card,1 week ago,noon,https://sa.linkedin.com/company/nooncom?trk=public_jobs_jserp-result_job-search-card-subtitle,"Cairo, Egypt"
Remote Full-stack Python Developer,https://eg.linkedin.com/jobs/view/remote-full-stack-python-developer-at-scopic-3934555917?refId=7us7QS7uKJ6X4TNzP7MZcg%3D%3D&trackingId=1UXlZGzOtD4YGB0IvHBoaw%3D%3D&position=6&pageNum=2&trk=public_jobs_jserp-result_search-card,1 week ago,Scopic,https://www.linkedin.com/company/scopic-software?trk=public_jobs_jserp-result_job-search-card-subtitle,Egypt
